symbol,date,open,high,low,close,adj_close,volume,created_at
FPT.VN,2010-02-22,11646.14453125,11646.14453125,11439.408203125,11508.3203125,6976.84033203125,1133835,2026-08-06 16:24:45.638407
FPT.VN,2010-02-23,11232.671875,11301.583984375,11025.935546875,11094.84765625,6726.1767578125,937571,2026-08-06 16:24:45.638407
FPT.VN,2010-02-24,11025.935546875,11163.759765625,11025.935546875,11094.84765625,6726.1767578125,1362024,2026-08-06 16:24:45.638407
FPT.VN,2010-02-25,11094.84765625,11232.671875,10957.0234375,11094.84765625,6726.1767578125,1948932,2026-08-06 16:24:45.638407
FPT.VN,2010-02-26,11025.935546875,11025.935546875,10750.287109375,10750.287109375,6517.2890625,4971986,2026-08-06 16:24:45.638407
FPT.VN,2010-03-01,11094.84765625,11094.84765625,11025.935546875,11025.935546875,6684.39794921875,503177,2026-08-06 16:24:45.638407
FPT.VN,2010-03-02,11025.935546875,11025.935546875,10957.0234375,11025.935546875,6684.39794921875,1409404,2026-08-06 16:24:45.638407
FPT.VN,2010-03-03,11163.759765625,11163.759765625,11094.84765625,11163.759765625,6767.9521484375,1513304,2026-08-06 16:24:45.638407
FPT.VN,2010-03-04,11301.583984375,11370.49609375,11163.759765625,11370.49609375,6893.287109375,2242929,2026-08-06 16:24:45.638407
FPT.VN,2010-03-05,11370.49609375,11439.408203125,11301.583984375,11301.583984375,6851.50830078125,2007702,2026-08-06 16:24:45.638407
FPT.VN,2010-03-08,11301.583984375,11439.408203125,11301.583984375,11370.49609375,6893.287109375,2113489,2026-08-06 16:24:45.638407
FPT.VN,2010-03-09,11439.408203125,11577.232421875,11439.408203125,11577.232421875,7018.6181640625,3222801,2026-08-06 16:24:45.638407
FPT.VN,2010-03-10,11783.96875,12128.529296875,11646.14453125,12128.529296875,7352.84033203125,8656462,2026-08-06 16:24:45.638407
FPT.VN,2010-03-11,12335.265625,12404.177734375,12128.529296875,12266.353515625,7436.39306640625,1751579,2026-08-06 16:24:45.638407
FPT.VN,2010-03-12,12335.265625,12335.265625,12128.529296875,12266.353515625,7436.39306640625,2446595,2026-08-06 16:24:45.638407
FPT.VN,2010-03-15,12266.353515625,12266.353515625,11990.705078125,12128.529296875,7352.84033203125,1729739,2026-08-06 16:24:45.638407
FPT.VN,2010-03-16,11852.880859375,11921.79296875,11577.232421875,11577.232421875,7018.6181640625,4660284,2026-08-06 16:24:45.638407
FPT.VN,2010-03-17,11783.96875,11852.880859375,11577.232421875,11646.14453125,7060.39697265625,2485049,2026-08-06 16:24:45.638407
FPT.VN,2010-03-18,11646.14453125,11921.79296875,11646.14453125,11921.79296875,7227.50732421875,693637,2026-08-06 16:24:45.638407
FPT.VN,2010-03-19,11990.705078125,11990.705078125,11783.96875,11852.880859375,7185.72998046875,1408243,2026-08-06 16:24:45.638407
FPT.VN,2010-03-22,11783.96875,11783.96875,11577.232421875,11577.232421875,7018.6181640625,1037626,2026-08-06 16:24:45.638407
FPT.VN,2010-03-23,11577.232421875,11715.056640625,11370.49609375,11439.408203125,6935.06396484375,931113,2026-08-06 16:24:45.638407
FPT.VN,2010-03-24,11646.14453125,11783.96875,11577.232421875,11715.056640625,7102.17578125,1757891,2026-08-06 16:24:45.638407
FPT.VN,2010-03-25,11715.056640625,11715.056640625,11439.408203125,11508.3203125,6976.84033203125,1784882,2026-08-06 16:24:45.638407
FPT.VN,2010-03-26,11439.408203125,11508.3203125,11301.583984375,11439.408203125,6935.06396484375,1106989,2026-08-06 16:24:45.638407
FPT.VN,2010-03-29,11577.232421875,11715.056640625,11508.3203125,11646.14453125,7060.39697265625,650248,2026-08-06 16:24:45.638407
FPT.VN,2010-03-30,11646.14453125,11646.14453125,11370.49609375,11508.3203125,6976.84033203125,1558144,2026-08-06 16:24:45.638407
